iter	RMSE
0	1.249127579
1	1.241783784
2	1.234846116
3	1.227878299
4	1.221553584
5	1.215097539
6	1.208892505
7	1.202961412
8	1.197129481
9	1.191557087
10	1.186268889
11	1.180958822
12	1.175794803
13	1.170908012
14	1.166097556
15	1.161614446
16	1.156978585
17	1.152600165
18	1.148225181
19	1.144175231
20	1.140640245
21	1.136845553
22	1.133238201
23	1.129669907
24	1.126303169
25	1.122996573
26	1.119755582
27	1.11676566
28	1.113771181
29	1.111039333
30	1.108114135
31	1.105336904
32	1.102637667
33	1.099971266
34	1.097354794
35	1.094820123
36	1.092611949
37	1.090281081
38	1.087916931
39	1.085864088
40	1.08358812
41	1.081454577
42	1.079364063
43	1.07736999
44	1.075549728
45	1.073935485
46	1.072171533
47	1.070445482
48	1.068654461
49	1.067080196
50	1.065472648
51	1.063868897
52	1.06244723
53	1.060946685
54	1.059445349
55	1.058016107
56	1.056849208
57	1.055549495
58	1.054131435
59	1.052940537
60	1.051785885
61	1.050726475
62	1.049516855
63	1.048571805
64	1.047414544
65	1.046279218
66	1.045220169
67	1.04423492
68	1.043291138
69	1.042463275
70	1.041512786
71	1.040583645
72	1.039598415
73	1.038896874
74	1.038017677
75	1.037049673
76	1.036123255
77	1.035345281
78	1.034569123
79	1.033754969
80	1.032936932
81	1.031931162
82	1.031242773
83	1.030481003
84	1.02977573
85	1.029030979
86	1.028336858
87	1.027756213
88	1.027064622
89	1.026441006
90	1.025880544
91	1.025223294
92	1.024566869
93	1.023836494
94	1.023353434
95	1.022796914
96	1.022239989
97	1.021617075
98	1.020857112
99	1.020343968
100	1.019817641
101	1.019206314
102	1.018704158
103	1.01805024
104	1.017480884
105	1.017071068
106	1.01657899
107	1.01599818
108	1.015539252
109	1.015055812
110	1.014679634
111	1.0141108
112	1.013721712
113	1.013372378
114	1.012855885
115	1.012482501
116	1.012113206
117	1.011668272
118	1.01125634
119	1.010624813
120	1.010192509
121	1.009747651
122	1.009366315
123	1.008936892
124	1.008574886
125	1.008188144
126	1.007810018
127	1.007481409
128	1.007160537
129	1.006796144
130	1.006525171
131	1.006346665
132	1.005974329
133	1.00557873
134	1.005172163
135	1.004954175
136	1.004713647
137	1.004360562
138	1.004005222
139	1.003632705
140	1.0032758
141	1.002983718
142	1.00259716
143	1.002168761
144	1.001860204
145	1.001522615
146	1.001052501
147	1.000719914
148	1.000404358
149	1.000064932
150	0.9997917549
151	0.9995411477
152	0.9993139213
153	0.9990029289
154	0.9985905748
155	0.9983380072
156	0.9980412303
157	0.9977478232
158	0.9974683735
159	0.9972365923
160	0.9969696657
161	0.9965782818
162	0.9962896732
163	0.9958369762
164	0.9954446617
165	0.995240629
166	0.9950051386
167	0.994788287
168	0.994665743
169	0.9944489562
170	0.9942368763
171	0.9938490335
172	0.9934564549
173	0.9931984131
174	0.9929550372
175	0.9927681132
176	0.9924900425
177	0.9923283781
178	0.9920288295
179	0.9918105966
