iter	Passed	Remaining
0	440	2204347
1	882	2206488
2	1331	2217904
3	1723	2152361
4	2126	2124409
5	2512	2091077
6	2904	2072075
7	3298	2058320
8	3684	2043227
9	4068	2030140
10	4462	2023851
11	4855	2018295
12	5246	2012554
13	5642	2009413
14	6012	1998294
15	6399	1993548
16	6801	1993577
17	7198	1992266
18	7624	1998792
19	8034	2000546
20	8451	2003731
21	8859	2004711
22	9251	2001942
23	9672	2005439
24	10069	2003807
25	10443	1997960
26	10834	1995505
27	11289	2004638
28	11685	2002978
29	12099	2004431
30	12495	2002898
31	12899	2002666
32	13321	2005040
33	13724	2004550
34	14127	2004152
35	14516	2001695
36	14912	2000311
37	15328	2001592
38	15760	2004820
39	16182	2006580
40	16591	2006715
41	16999	2006759
42	17393	2005119
43	17780	2002734
44	18177	2001492
45	18588	2001893
46	19006	2002980
47	19408	2002315
48	19805	2001188
49	20200	1999802
50	20610	2000054
51	21028	2000909
52	21417	1999141
53	21803	1997061
54	22188	1994914
55	22567	1992388
56	22949	1990157
57	23340	1988751
58	23729	1987216
59	24114	1985458
60	24508	1984349
61	24935	1985989
62	25327	1984815
63	25719	1983606
64	26116	1982832
65	26500	1981112
66	26899	1980534
67	27298	1979956
68	27691	1978919
69	28102	1979226
70	28519	1979917
71	28922	1979559
72	29322	1979057
73	29733	1979268
74	30147	1979661
75	30538	1978577
76	30950	1978810
77	31342	1977767
78	31740	1977146
79	32162	1977997
80	32555	1977025
81	32974	1977684
82	33403	1978836
83	33822	1979440
84	34220	1978721
85	34631	1978825
86	35032	1978312
87	35420	1977081
88	35810	1976019
89	36193	1974541
90	36585	1973622
91	36971	1972344
92	37364	1971497
93	37778	1971733
94	38181	1971375
95	38585	1971096
96	38988	1970731
97	39392	1970450
98	39813	1970954
99	40219	1970765
100	40676	1973019
101	41118	1974470
102	41520	1974027
103	41943	1974549
104	42380	1975740
105	42802	1976187
106	43212	1976066
107	43686	1978849
108	44126	1980030
109	44556	1980722
110	44948	1979743
111	45365	1979876
112	45797	1980642
113	46205	1980360
114	46664	1982226
115	47221	1988190
116	47640	1988287
117	48043	1987705
118	48467	1987964
119	48912	1989120
120	49349	1989890
121	49767	1989893
122	50196	1990319
123	50615	1990336
124	51043	1990692
125	51441	1989891
126	51844	1989265
127	52261	1989186
128	52649	1988020
129	53040	1986981
130	53421	1985584
131	53804	1984237
132	54190	1983041
133	54578	1981922
134	54987	1981602
135	55378	1980611
136	55800	1980714
137	56201	1980085
138	56595	1979223
139	56992	1978457
140	57406	1978283
141	57822	1978174
142	58267	1979048
143	58668	1978419
144	59074	1977992
145	59482	1977601
146	59895	1977380
147	60310	1977195
148	60727	1977115
149	61130	1976539
150	61527	1975817
151	61933	1975362
152	62326	1974473
153	62727	1973886
154	63139	1973609
155	63510	1972089
156	63895	1970987
157	64296	1970403
158	64690	1969594
159	65073	1968467
160	65464	1967581
161	65877	1967381
162	66266	1966435
163	66690	1966568
164	67084	1965771
165	67491	1965375
166	67873	1964262
167	68245	1962856
168	68635	1961990
169	69030	1961267
170	69435	1960836
171	69855	1960833
172	70273	1960750
173	70672	1960141
174	71052	1959013
175	71439	1958102
176	71826	1957157
177	72203	1955978
178	72585	1954938
179	73000	1954778
180	73400	1954249
181	73795	1953550
182	74184	1952723
183	74575	1951935
184	74992	1951831
185	75398	1951449
186	75788	1950651
187	76195	1950288
188	76600	1949876
189	76998	1949288
190	77381	1948305
191	77763	1947330
192	78173	1947055
193	78547	1945877
194	78943	1945248
195	79321	1944186
196	79712	1943455
197	80108	1942832
198	80497	1942042
199	80868	1940842
200	81264	1940246
201	81664	1939745
202	82039	1938629
203	82423	1937748
204	82821	1937224
205	83210	1936470
206	83593	1935583
207	83978	1934729
208	84360	1933831
209	84756	1933247
210	85163	1932933
211	85528	1931647
212	85913	1930827
213	86279	1929597
214	86657	1928630
215	87051	1928022
216	87423	1926949
217	87799	1925949
218	88191	1925312
219	88565	1924279
220	88934	1923168
221	89329	1922590
222	89705	1921629
223	90088	1920812
224	90494	1920496
225	90877	1919689
226	91266	1919005
227	91651	1918250
228	92030	1917358
229	92396	1916224
230	92763	1915102
231	93182	1915067
232	93589	1914763
233	93981	1914175
234	94362	1913359
235	94759	1912857
236	95165	1912554
237	95536	1911534
238	95945	1911281
239	96332	1910588
240	96704	1909608
241	97090	1908902
242	97470	1908101
243	97853	1907348
244	98252	1906896
245	98641	1906266
246	99045	1905922
247	99429	1905202
248	99821	1904634
249	100232	1904413
250	100626	1903885
251	101017	1903300
252	101409	1902737
253	101780	1901774
254	102169	1901146
255	102568	1900715
256	102978	1900491
257	103371	1899958
258	103739	1898950
259	104137	1898504
260	104545	1898247
261	104923	1897429
262	105302	1896646
263	105698	1896163
264	106095	1895711
265	106463	1894728
266	106836	1893855
267	107257	1893816
